cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness_mode	fitness_mean	fitness_minimum_stdev
11	18	6	0.0	0.2388924736178288	0.2388924736178288
11	18	7	0.0	0.22769962414531833	0.22769962414531833
11	18	8	0.0	0.2520298503139205	0.2520298503139205
11	18	9	0.0	1.1606195882017332	1.0673361764508178
11	18	10	0.4192548197037911	0.6368667297354246	0.3768247298050212
11	18	11	0.0	0.20833353259606147	0.20833353259606147
11	18	12	0.0	0.3088904870516538	0.30889048705165373
11	18	13	0.0	0.4271525371552789	0.40688676244230043
11	18	14	0.0	0.381348115237856	0.381348115237856
11	18	15	0.0	0.2123704153106686	0.2123704153106686
11	18	16	0.0	0.25220251476089695	0.25220251476089695
11	18	17	0.0	0.2173236543427	0.2173236543427
11	18	18	0.0	0.22484714839798497	0.22484714839798497
11	18	19	0.0	0.27254014487124634	0.27254014487124634
11	18	20	0.6841186515493272	0.9288688108336304	0.4893443661395162
11	19	1	2.1247757722630647	2.428315168300646	0.8585390611817647
11	19	2	1.0253288390971185	1.3938598026137146	0.7367666184669579
11	19	3	0.8329025612385416	1.1105367483180557	0.555268374159027
11	19	4	0.262694263063881	0.525388526127762	0.3715057895825461
11	19	5	0.0	0.28546887421943057	0.2854688742194306
11	19	6	0.3038332834252991	0.6076665668505982	0.4296851501204064
11	19	7	0.29076012754635117	0.5815202550927023	0.41119691577338074
11	19	8	4.466628778952765	4.785673691735108	1.235655633898201
11	19	9	0.0	0.8535805289493368	0.8373959342236086
11	19	10	0.27884098443331123	0.5576819688666225	0.39434070193105386
11	19	11	0.8036732581844733	1.0715643442459646	0.5357821721229815
11	19	12	0.0	0.3832773751945117	0.3832773751945117
11	19	13	0.0	0.9621701740792705	0.8637018722661696
11	19	14	0.0	0.461531419368089	0.461531419368089
11	19	15	0.0	0.27268451211379174	0.27268451211379174
11	19	16	0.0	0.3192438931872133	0.31924389318721336
11	19	17	0.5570939897858057	0.8356409846787084	0.48245754745013647
11	19	18	0.0	0.2874116618111363	0.2874116618111363
11	19	19	0.3409539110343297	0.6834725114255887	0.4843819957478941
11	19	20	0.3105664953567671	0.6211329907135342	0.43920734975222087
11	20	1	0.0	0.32958019278814865	0.32958019278814865
11	20	2	0.39685671719558197	0.7937134343911639	0.5612401517768559
11	20	3	0.0	0.3024175840337021	0.3024175840337021
11	20	4	0.0	0.2866732838262132	0.2866732838262132
11	20	5	0.0	0.6971085674137858	0.6130929216669184
11	20	6	0.0	0.329887350586743	0.32988735058674307
11	20	7	0.0	0.3162023372619211	0.31620233726192104
11	20	8	0.0	0.34575554928396773	0.34575554928396773
11	20	9	0.0	0.9565719808106508	0.9252998296203946
11	20	10	0.0	0.30368681899123584	0.30368681899123584
11	20	11	0.0	0.2921565093151674	0.2921565093151674
11	20	12	0.0	0.4121111038111028	0.4121111038111028
11	20	13	0.0	1.217901014410284	1.006943587985937
11	20	14	0.0	0.49155990482447653	0.49155990482447653
11	20	15	0.0	0.2972078585665602	0.2972078585665602
11	20	16	0.0	0.3459627248813528	0.3459627248813528
11	20	17	0.0	0.3033776538153918	0.3033776538153917
11	20	18	0.0	0.31269005019458235	0.31269005019458235
11	20	19	0.0	0.3701189866106238	0.3701189866106238
11	20	20	0.0	0.33691851280998636	0.33691851280998636
12	1	1	0.0	0.16142615565856586	0.16142615565856586
12	1	2	0.0	0.20486675082031042	0.20486675082031042
12	1	3	0.0	0.14512220735299403	0.14512220735299403
12	1	4	0.0	0.13597075228066094	0.13597075228066094
12	1	5	0.0	0.14999394016124698	0.14999394016124698
12	1	6	0.0	0.1616143776452203	0.1616143776452203
12	1	7	0.0	0.15331290996136432	0.15331290996136432
12	1	8	0.0	0.17145937762716607	0.17145937762716607
12	1	9	0.0	0.16528063930231437	0.16528063930231437
12	1	10	0.0	0.14586932425972893	0.14586932425972893
12	1	11	0.0	0.13913370606529327	0.13913370606529324
12	1	12	0.0	0.21537664795094894	0.21537664795094894
12	1	13	0.0	0.44893937566130093	0.38321233150104356
12	1	14	0.0	0.27461467916444576	0.2746146791644457
12	1	15	0.0	0.14207033431241958	0.14207033431241958
12	1	16	0.0	0.17158950653194244	0.1715895065319424
12	1	17	0.0	0.961838146040769	0.8753580335448061
12	1	18	0.0	0.708410012043398	0.5938687652230099
12	1	19	0.0	0.1870525542472618	0.1870525542472618
12	1	20	0.0	0.16594717228614106	0.16594717228614106
12	2	1	0.0	0.18392329108250582	0.18392329108250582
12	2	2	0.0	0.23174489442539128	0.23174489442539128
12	2	3	0.0	0.16579638660586546	0.16579638660586546
12	2	4	0.0	0.15557847385971552	0.15557847385971552
12	2	5	0.0	0.17122314192812943	0.17122314192812943
12	2	6	0.0	0.1841319847465555	0.1841319847465555
12	2	7	0.0	0.17491519301191868	0.17491519301191868
12	2	8	0.0	0.19502958994548739	0.19502958994548739
12	2	9	0.0	0.18819439943222305	0.18819439943222308
12	2	10	0.0	0.16662919235337578	0.16662919235337578
12	2	11	0.0	0.15911354781971684	0.15911354781971684
12	2	12	0.0	0.5730282954961532	0.4873612767374818
12	2	13	0.0	1.0825650114796517	0.9865788259003854
12	2	14	0.0	0.3071092529665883	0.30710925296658825
12	2	15	0.0	0.1623923312946828	0.1623923312946828
12	2	16	0.0	0.3013661236056109	0.2821768447275214
12	2	17	0.0	0.16642620809174288	0.16642620809174288
12	2	18	0.0	0.9512897447093724	0.7815603720501604
12	2	19	0.0	0.2122172927333997	0.2122172927333997
12	2	20	0.0	0.1889324223332451	0.1889324223332451
12	3	1	0.0	0.2411165747472253	0.2411165747472253
12	3	2	0.5967438247952923	0.8951157371929384	0.5167953118242135
12	3	3	0.0	0.21886461703641844	0.21886461703641846
12	3	4	0.0	0.2061845088458296	0.2061845088458296
12	3	5	3.834498039050387	4.06005674722981	0.9569645526561692
12	3	6	0.0	0.24137097008620703	0.24137097008620703
12	3	7	0.0	0.23009710223830285	0.23009710223830285
12	3	8	0.0	0.2545990526095975	0.2545990526095975
12	3	9	0.15813032385575865	0.4276935384982473	0.34223586619610014
12	3	10	0.0	0.2198937220610332	0.2198937220610332
12	3	11	0.0	0.5180210460718317	0.45199367870138263
12	3	12	0.31179770125614165	0.6235954025122833	0.44094853783319016
12	3	13	0.6724046229564937	1.1254100681440082	0.7680087953928131
12	3	14	0.0	0.3845578211394995	0.3845578211394995
12	3	15	0.21465135024728577	0.42930270049457153	0.3035628507014089
12	3	16	0.0	0.2547728776647921	0.2547728776647921
12	3	17	0.0	0.2196429533127467	0.2196429533127467
12	3	18	0.0	0.9857576690277199	0.8015505053257316
12	3	19	0.0	0.8226167830744444	0.7709115386596679
12	3	20	0.24721150415664211	0.49442300831328423	0.34960986195297605
12	4	1	0.0	0.16000286888858356	0.16000286888858356
12	4	2	0.20315323942698146	0.4063064788539629	0.28730206643766576
12	4	3	0.0	0.14381801795627794	0.14381801795627797
12	4	4	0.0	0.13473584338434985	0.13473584338434988
12	4	5	0.0	0.1486535824045197	0.14865358240451973
12	4	6	0.0	0.16018974834768782	0.16018974834768782
12	4	7	0.0	0.15194819543316343	0.15194819543316343
12	4	8	0.0	0.16996555834204974	0.16996555834204977
12	4	9	0.0	0.16383000725517616	0.16383000725517616
12	4	10	0.0	0.14455955601816936	0.14455955601816936
12	4	11	0.0	0.1378746546317309	0.1378746546317309
12	4	12	0.0	0.21359884566131176	0.21359884566131176
12	4	13	0.010618003945949805	0.5311205350540957	0.4181533353238779
12	4	14	0.0	0.27251773501330756	0.27251773501330756
12	4	15	0.0	0.14078905472112155	0.14078905472112155
12	4	16	0.19990557659935948	0.427122785544644	0.3178787241068559
12	4	17	0.0	0.14437879883360066	0.14437879883360066
12	4	18	0.0	0.672918595361117	0.5482199621372088
12	4	19	0.0	0.18545328957980614	0.1854532895798061
12	4	20	0.0	0.16449184304284223	0.16449184304284223
12	5	1	0.0	0.1333858645934735	0.1333858645934735
