cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness	clean_reads
1	18	7	0.0000	0.0000
1	18	8	0.0000	0.0000
1	18	9	0.0000	0.0000
1	18	10	0.0000	0.0000
1	18	11	0.0000	0.0000
1	18	12	0.6205	2.1066
1	18	13	0.0000	0.0000
1	18	14	0.0000	0.0000
1	18	15	0.0000	0.0000
1	18	16	0.0000	0.0000
1	18	17	0.0000	0.0000
1	18	18	0.0000	0.0000
1	18	19	0.0000	0.0000
1	18	20	0.7653	2.3542
1	19	1	2.0962	12.1545
1	19	2	0.0000	0.0000
1	19	3	0.0000	0.0000
1	19	4	0.0000	0.0000
1	19	5	0.0000	0.0000
1	19	6	0.0000	0.0000
1	19	7	0.0000	0.0000
1	19	8	0.0000	0.0000
1	19	9	0.0000	0.0000
1	19	10	0.0000	0.0000
1	19	11	0.0000	0.0000
1	19	12	0.0000	0.0000
1	19	13	0.1850	0.6636
1	19	14	0.0000	0.0000
1	19	15	0.1824	0.7966
1	19	16	0.2704	1.4885
1	19	17	0.0000	0.0000
1	19	18	0.0000	0.0000
1	19	19	0.0000	0.0000
1	19	20	0.0000	0.0000
1	20	1	0.0000	0.0000
1	20	2	0.0000	0.0000
1	20	3	0.0000	0.0000
1	20	4	0.0000	0.0000
1	20	5	0.0000	0.0000
1	20	6	0.0000	0.0000
1	20	7	0.5605	2.2278
1	20	8	0.0000	0.0000
1	20	9	0.3614	1.5189
1	20	10	0.2993	1.5271
1	20	11	1.8206	8.1814
1	20	12	0.0000	0.0000
1	20	13	0.0000	0.0000
1	20	14	0.0000	0.0000
1	20	15	0.0000	0.0000
1	20	16	0.0000	0.0000
1	20	17	0.0000	0.0000
1	20	18	0.3060	1.5708
1	20	19	0.0000	0.0000
1	20	20	0.0000	0.0000
2	1	4	0.1901	1.0000
2	1	5	0.5270	2.1681
2	1	19	0.9154	2.9694
2	2	1	0.2046	1.0000
2	2	4	0.0000	0.0000
2	2	5	0.0000	0.0000
2	2	6	0.0000	0.0000
2	2	16	4.9462	23.0000
2	3	1	0.3373	2.0000
2	3	5	0.0000	0.0000
2	3	14	0.6817	2.0540
2	3	20	6.9556	24.0000
2	4	5	0.1049	0.4650
2	4	16	0.1995	1.0000
2	5	1	142.8246	885.0000
2	5	5	0.0000	0.0000
2	5	8	18.3293	97.0000
2	6	5	0.0000	0.0000
2	6	7	2.8727	11.0000
2	6	15	0.6756	3.0000
2	6	18	0.8503	4.1926
2	7	5	0.0000	0.0000
2	7	17	0.2772	1.0000
2	7	19	0.2730	1.0000
2	8	5	0.6205	2.8915
2	8	12	0.2769	1.0000
2	8	14	0.0000	0.0000
2	9	5	0.0000	0.0000
2	9	10	0.3714	1.7003
2	9	19	0.0000	0.0000
2	9	20	0.2447	0.7918
2	10	5	0.0000	0.0000
2	11	2	0.0000	0.0000
2	11	5	1.0552	5.8876
2	11	8	4.3803	25.0000
2	11	10	0.0000	0.0000
2	11	12	0.2343	1.0000
2	11	16	0.1575	1.0000
2	12	1	0.1588	1.0000
2	12	2	0.2818	1.0000
2	12	4	55.8482	381.0000
2	12	5	0.0000	0.0000
2	12	17	0.2498	1.0000
2	12	19	0.2459	1.0000
2	13	5	1.3526	5.7993
2	14	5	0.0000	0.0000
2	15	5	0.0000	0.0000
2	15	17	0.2448	0.8452
2	16	4	0.1499	1.0000
