cycle_1_lane	cycle_2_lane	cycle_3_lane	tag_imbalance
1	7	2	1.1244023997491448
1	7	3	1.3672883226307364
1	7	4	1.414177496932202
1	7	5	1.2528787373351602
1	7	6	1.0456285869226825
1	7	7	1.375415779509657
1	7	8	1.1544114713020825
1	7	9	1.2059895630336948
1	7	10	1.2888271042996173
1	7	11	1.4148026859228882
1	7	12	1.0343751850903309
1	7	13	1.4588785097662658
1	7	14	0.6536350897624302
1	7	15	1.315085041908438
1	7	16	1.1653522786390913
1	7	17	1.3604112437331881
1	7	18	1.332590333647652
1	7	19	1.4557525648128349
1	7	20	1.2535039263258465
1	8	1	1.0966538447919751
1	8	2	1.0243219630529043
1	8	3	1.2455891760893532
1	8	4	1.2883048542817177
1	8	5	1.1413629212999836
1	8	6	0.9525596236897317
1	8	7	1.2529932269760298
1	8	8	1.0516599970960177
1	8	9	1.0986472431076189
1	8	10	1.1741116079141298
1	8	11	1.2888743966576162
1	8	12	0.9423078609235641
1	8	13	1.329027134158439
1	8	14	0.5954565540015633
1	8	15	1.1980323877018542
1	8	16	1.0616269886742362
1	8	17	1.239324209954473
1	8	18	1.2139795742270034
1	8	19	1.326179422278948
1	8	20	1.1419324636758819
1	9	1	1.241568817139486
1	9	2	1.1596787938848954
1	9	3	1.4101848886440176
1	9	4	1.458545138597516
1	9	5	1.2921858787574811
1	9	6	1.0784335739630178
1	9	7	1.4185673319692909
1	9	8	1.190629353855134
1	9	9	1.2438256288039826
1	9	10	1.3292620703884968
1	9	11	1.4591899419302297
1	9	12	1.0668271139741778
1	9	13	1.504648576886518
1	9	14	0.6741418843517697
1	9	15	1.356343810362456
1	9	16	1.2019134121776172
1	9	17	1.4030920519841712
1	9	18	1.3743983036784289
1	9	19	1.5014245602229515
1	9	20	1.2928306820901945
1	10	1	0.840115177528138
1	10	2	0.7847037895530286
1	10	3	0.9542102795398795
1	10	4	0.9869335401551017
1	10	5	0.8743655236387373
1	10	6	0.7297287117194552
1	10	7	0.9598823113798514
1	10	8	0.8056466763467707
1	10	9	0.8416422630235151
1	10	10	0.8994533567770744
1	10	11	0.9873698502966382
1	10	12	0.7218751291718017
1	10	13	1.018129715274947
1	10	14	0.4561622529761975
1	10	15	0.917778382721599
1	10	16	0.8132821038236558
1	10	17	0.9494108679829802
1	10	18	0.9299950666846151
1	10	19	1.0159481645672654
1	10	20	0.8748018337802737
1	11	1	1.3794898236401096
1	11	2	1.2885029591361916
1	11	3	1.5668367926777043
1	11	4	1.6205691929752934
1	11	5	1.4357297359515862
1	11	6	1.1982325266362417
1	11	7	1.5761504087292864
1	11	8	1.3228916953266487
1	11	9	1.381997335653997
1	11	10	1.4769245761797383
1	11	11	1.6212856249792615
1	11	12	1.1853367505648202
1	11	13	1.6717940812589953
1	11	14	0.749029660148395
1	11	15	1.5070147203463882
1	11	16	1.3354292553960863
1	11	17	1.558956040634058
1	11	18	1.5270748164574883
1	11	19	1.6682119212391562
1	11	20	1.4364461679555542
1	12	1	0.697997791519382
1	12	2	0.6519600249533153
1	12	3	0.7927920903936061
1	12	4	0.8199797478145117
1	12	5	0.7264542062865965
1	12	6	0.6062847604861941
1	12	7	0.7975046176798963
1	12	8	0.6693601257026949
1	12	9	0.699266548865691
1	12	10	0.7472980769759574
1	12	11	0.8203422499134572
1	12	12	0.5997597227051766
1	12	13	0.8458986478891082
1	12	14	0.37899594444742346
1	12	15	0.7625231651316645
1	12	16	0.6757039124342394
1	12	17	0.7888045673052065
1	12	18	0.772673223902136
1	12	19	0.8440861373943812
1	12	20	0.7268167083855419
1	13	1	0.8129785900422142
1	13	2	0.7593570470999337
1	13	3	0.9233883024784849
1	13	4	0.9550545679955796
1	13	5	0.8461226146167734
1	13	6	0.7061577210312144
1	13	7	0.9288771218347814
1	13	8	0.7796234570308743
1	13	9	0.8144563490996787
1	13	10	0.8704000848465462
1	13	11	0.9554767848691409
1	13	12	0.6985578173071116
1	13	13	0.9852430744552101
1	13	14	0.4414277413083017
1	13	15	0.8881331935361192
1	13	16	0.7870122523181965
1	13	17	0.9187439168693109
1	13	18	0.8999552659958346
1	13	19	0.9831319900874037
1	13	20	0.8465448314903348
1	14	1	1.0130060132631995
1	14	2	0.9461912827077976
1	14	3	1.150581226178456
1	14	4	1.1900387442229847
1	14	5	1.0543048821498062
1	14	6	0.8799026523929896
1	14	7	1.1574205293061743
1	14	8	0.9714440942562957
1	14	9	1.0148473641052775
