cycle_1_lane	cycle_2_lane	cycle_3_lane	fraction_of_000	fraction_of_001	fraction_of_010	fraction_of_011	fraction_of_100	fraction_of_101	fraction_of_110	fraction_of_111
7	5	15	0.0049	0.0199	0.0247	0.1001	0.0279	0.1131	0.1404	0.5690
7	5	16	0.0069	0.0179	0.0345	0.0903	0.0390	0.1020	0.1961	0.5134
7	5	17	0.0061	0.0187	0.0308	0.0940	0.0348	0.1061	0.1753	0.5342
7	5	18	0.0066	0.0182	0.0330	0.0918	0.0372	0.1037	0.1874	0.5220
7	5	19	0.0119	0.0129	0.0597	0.0651	0.0674	0.0735	0.3395	0.3700
7	5	20	0.0074	0.0174	0.0374	0.0874	0.0422	0.0987	0.2126	0.4969
7	6	1	0.0097	0.0298	0.0271	0.0830	0.0552	0.1691	0.1541	0.4719
7	6	2	0.0157	0.0238	0.0437	0.0664	0.0891	0.1353	0.2486	0.3775
7	6	3	0.0098	0.0297	0.0273	0.0829	0.0555	0.1688	0.1549	0.4711
7	6	4	0.0085	0.0310	0.0237	0.0864	0.0483	0.1761	0.1347	0.4914
7	6	5	0.0083	0.0312	0.0231	0.0870	0.0471	0.1773	0.1314	0.4946
7	6	6	0.0053	0.0342	0.0147	0.0954	0.0299	0.1944	0.0835	0.5425
7	6	7	0.0118	0.0277	0.0329	0.0772	0.0670	0.1574	0.1870	0.4391
7	6	8	0.0106	0.0289	0.0296	0.0805	0.0603	0.1640	0.1683	0.4577
7	6	9	0.0106	0.0289	0.0296	0.0806	0.0602	0.1641	0.1681	0.4579
7	6	10	0.0081	0.0313	0.0227	0.0874	0.0463	0.1780	0.1292	0.4968
7	6	11	0.0093	0.0302	0.0260	0.0841	0.0530	0.1714	0.1478	0.4782
7	6	12	0.0152	0.0243	0.0424	0.0678	0.0863	0.1380	0.2409	0.3851
7	6	13	0.0063	0.0331	0.0177	0.0925	0.0360	0.1883	0.1005	0.5255
7	6	14	0.0116	0.0279	0.0324	0.0777	0.0660	0.1584	0.1841	0.4419
7	6	15	0.0078	0.0317	0.0218	0.0883	0.0444	0.1800	0.1239	0.5021
7	6	16	0.0109	0.0286	0.0304	0.0797	0.0620	0.1624	0.1730	0.4530
7	6	17	0.0098	0.0297	0.0272	0.0829	0.0554	0.1689	0.1547	0.4714
7	6	18	0.0104	0.0290	0.0291	0.0810	0.0593	0.1651	0.1654	0.4606
7	6	19	0.0189	0.0206	0.0527	0.0574	0.1074	0.1170	0.2996	0.3265
7	6	20	0.0118	0.0276	0.0330	0.0771	0.0672	0.1571	0.1876	0.4385
7	7	1	0.0077	0.0236	0.0291	0.0891	0.0439	0.1344	0.1655	0.5066
7	7	2	0.0125	0.0189	0.0469	0.0713	0.0708	0.1075	0.2669	0.4052
7	7	3	0.0078	0.0236	0.0293	0.0890	0.0441	0.1342	0.1663	0.5058
7	7	4	0.0067	0.0246	0.0254	0.0928	0.0384	0.1400	0.1446	0.5275
7	7	5	0.0066	0.0248	0.0248	0.0934	0.0374	0.1409	0.1411	0.5310
7	7	6	0.0042	0.0272	0.0158	0.1025	0.0238	0.1545	0.0897	0.5824
7	7	7	0.0094	0.0220	0.0353	0.0829	0.0532	0.1251	0.2007	0.4714
7	7	8	0.0084	0.0229	0.0318	0.0865	0.0479	0.1304	0.1807	0.4914
7	7	9	0.0084	0.0229	0.0317	0.0865	0.0479	0.1304	0.1805	0.4916
7	7	10	0.0065	0.0249	0.0244	0.0938	0.0368	0.1415	0.1387	0.5334
7	7	11	0.0074	0.0240	0.0279	0.0903	0.0421	0.1362	0.1587	0.5134
7	7	12	0.0121	0.0193	0.0455	0.0727	0.0686	0.1097	0.2586	0.4135
7	7	13	0.0050	0.0263	0.0190	0.0993	0.0286	0.1497	0.1079	0.5642
7	7	14	0.0092	0.0221	0.0348	0.0835	0.0524	0.1259	0.1977	0.4744
7	7	15	0.0062	0.0252	0.0234	0.0948	0.0353	0.1430	0.1330	0.5391
7	7	16	0.0087	0.0227	0.0327	0.0856	0.0493	0.1290	0.1857	0.4864
7	7	17	0.0078	0.0236	0.0292	0.0890	0.0441	0.1343	0.1661	0.5060
7	7	18	0.0083	0.0231	0.0312	0.0870	0.0471	0.1312	0.1776	0.4945
7	7	19	0.0150	0.0164	0.0566	0.0617	0.0853	0.0930	0.3216	0.3505
7	7	20	0.0094	0.0220	0.0354	0.0828	0.0534	0.1249	0.2014	0.4707
7	8	1	0.0059	0.0181	0.0309	0.0947	0.0336	0.1027	0.1758	0.5383
